Technical Phrase, Sentence Frequency
syslog 956f8c1c25208091495c721e0796f456, 13
check box, 14
repository parent, 10
information hardware error, 1
way icmp, 5
first unit, 12
firmware level minimum number, 4
user interface, 92
lightning surge, 33
current selection, 11
required service, 1
zinc electroplate, 1
twinaxial workstation, 2
report summary, 10
firmware microcode, 3
physical site, 7
safety information booklet, 9
local installation resource, 4
use email, 24
passwd heerlen, 9
hash mode attribute, 13
major activity phase, 10
default network interface, 4
indoor temperature, 4
gil root, 2
set option, 2
partition allocation, 4
system error, 12
single hexadecimal number beginning, 2
file cache, 3
test tape, 18
auto mode, 101
topic collection, 74
exportvg command purpose, 6
fru location code, 18
exercise special care, 6
other archive, 1
sufficient space, 2
password task, 7
necessary mapping, 1
image file, 10
new alternate disk, 1
cfglnagg command purpose, 6
parameter description host, 2
virtual scsi device capacity, 4
class rms peak, 2
first connection, 8
fire hose, 19
association eia unit, 3
optional ampubport number, 6
virtual server adapter virtualserveradapter, 1
padmin user account, 32
vmcontrol technology, 18
same type, 2
specified alteration, 2
use rsa, 2
partition while, 3
incomplete state, 6
list reference, 16
new logical partition configuration, 2
resultsthe following table, 12
uncapped shared processor, 5
korean parent topic, 1
top side, 3
later time, 5
logport lp id, 7
administrator name, 1
pdump command purpose, 4
extended reference code, 10
64m parent topic, 1
vtpm function, 5
use machine, 5
docking station, 133
expert advice feature, 1
narrow door opening, 1
partition profile data, 98
service item, 3
lspath command, 26
system unit configuration, 1
target worldwide port, 21
line format, 4
might help, 6
list interface ip, 1
potential conversion, 2
change ip, 1
service processor version, 1
page size data, 1
cm diameter disk, 4
following sequence, 1
syntax lsvet code hist, 6
configure kerberos client, 18
partition base value, 1
system path, 4
reserved multicast address, 4
blank scratch tape, 3
memory information, 4
sine shock pulse, 19
interface problem, 2
specific output destination, 1
mode attribute, 2
range specification, 10
parent topic, 1015
emergency planning, 16
mibvariable input, 1
aix server type, 4
idle channel, 4
web browser system, 7
committed digi realport driver, 4
long form, 1
nonoperating mm, 2
hmc user password, 43
paging space device, 900
kernel extension, 1
light reflection, 2
administrative lan, 11
userid user id, 10
secure shell daemon sshd, 3
enough processor power, 2
rsubtype virtualopti, 110
configure kdc server, 15
lsrep command, 5
network information, 2
temperature control, 1
cover backplane daughter, 6
tip foot mm, 4
own user, 6
background color, 1
unique string, 7
virtual server scsi adapter, 4
second edition, 1
server search order, 15
select plan, 9
system power profile, 1
total power load, 26
minimum rating, 3
storage pool sp1, 2
top section, 3
tape archive, 2
new logical partition, 53
dat320 tape drive, 18
hmc environment, 8
new account password, 1
server while, 7
next boot, 25
mempool description, 7
logical partitionsword number, 25
optional acoustical front, 8
open network might, 16
ibm tivoli usage, 11
adapter selection use, 17
logical logical lhea, 3
different time range, 1
server check mark, 6
medium priority group frus, 5
autodetection option, 15
circuit board, 3
other country, 10
debugging level, 7
virtualized partition memory page, 40
adequate memory use, 7
homologation statementthis product, 14
vhost1 command, 3
running lsdev, 6
current display, 2
reserved processing unit value, 55
air conditioning supply, 4
return air temperature, 14
open network interface, 19
active bandwidth utilization, 3
raid storage controller, 24
partition firmware, 1
previous port, 1
ipl type, 56
time change, 13
data retention, 1
fast activation, 1
viosa2 logical partition while, 8
device back, 3
service provider information, 9
alphabetic view, 9
such power, 6
concrete subfloor, 2
previous configuration command, 1
multiple power, 3
syntax ldapadd file description, 5
gbit port type, 1
computer area, 6
rail alignment spacer, 10
different network software, 1
overwrite argument, 5
volume group bkvg, 7
link aggregation device, 21
virtualized machine placement, 1
input power range ac, 10
none switch id, 1
system information administrator name, 1
total noise level, 13
information technology room, 1
debugging information, 1
delta temperature, 9
fcs0 device type, 2
dma underrun error, 1
support manager page, 1
destination logical partition, 9
select none, 2
current flash image, 3
adapter reset count, 14
own unique vtpm, 5
vhost0 u8233, 1
pin configuration, 9
demand web site, 2
syntax lsvopt virtualtargetdevice, 9
delimiter separated list, 88
stop partition migration, 1
inquiry command, 10
lvname name, 3
temperature 18c, 1
specified uuid, 2
select different tty port, 1
ping canopus, 1
control channel attribute, 6
bootlist command, 38
ionic conduction, 1
capped mode, 7
new repository disk, 8
fc compatible tape cartridgestwo, 8
default number, 6
frame side, 1
same system plan, 5
raid redundancy, 21
logical partition version, 1
print system plan, 5
client mapping, 3
kerberos remote authentication, 5
virtual memory manager layer, 1
single local hmc, 2
preceding example, 5
optional dascan, 7
server capability, 1
hdisk5 related information, 6
promiscuous permission setting, 1
view system plan task, 5
associated allowable customizable data, 4
required throughput rate, 10
service connection, 5
operating environment, 102
throughput capability, 10
nonzero return code, 2
openssh software, 3
test pattern, 33
start telnet, 4
network part, 4
link aggregation adapters, 1
load sharing capability, 1
dat320 tape, 2
list npiv mapping information, 1
chbdsp command, 5
logical positioning, 14
reinstall system, 7
outer middle, 2
hexadecimal dump, 3
possible environment, 1
logical partition plan, 5
basic user, 7
server unit, 9
vios installation, 2
backing type physical disk, 1
high security level might, 5
server version, 2
network authentication protocol, 19
status dlpar status, 14
other procedure, 3
second fsp, 6
select 4th boot device, 1
command name, 1
disabled state, 3
feature code fc, 7
name physloc clntid clntname, 8
offer high throughput, 1
volume group state state, 2
abnormal ipl, 19
amber fault, 8
predictive error, 4
list file backed disk, 1
recording instrument, 8
paging service, 10
failed condition, 1
select boot, 16
electrical power distribution system, 6
drive front panel, 8
off off off power, 8
shock v1, 1
such noise, 19
rack r001, 5
stopnetsvc ftp, 4
open command line session, 1
structural engineer, 2
following menu, 1
suitable ground service entrance, 1
sortseg argument, 9
internal mechanism, 1
individual disk drive, 2
radio paging, 1
gbe sfn5162f adapter, 16
national electrical code, 13
supply item, 18
while equipment, 10
might address, 3
service documentation, 90
padmin user, 36
remote partition, 3
com xyz, 2
such physical volume, 4
integrated virtualization manager ivm, 13
internet connection, 70
unused mb lu udid, 99
connection interface, 9
matching textual name, 3
terminal display, 2
parent device, 45
level sys list, 5
scsi protocol, 3
logical volume backing, 1
possible accidental discharge, 3
remote logical partition, 1
use autonegotiation, 24
following image, 5
virtual disk page, 2
overall cooling health, 5
single character display, 5
web interface, 27
line report, 9
control point, 6
network adapter, 25
additional disc, 1
first guideline, 1
additional disk, 1
chbdsp storagepool backingdevice description, 6
file suffix, 1
hmc code version, 8
unique id, 112
logical volume lv3, 4
rmc connection, 23
unique ip, 3
call answer tab, 11
cplv command, 23
chlv command purpose, 5
start user maintenance, 4
wkldmgr command, 1
storage location, 1
system segment, 1
request packet, 3
feature installation information, 2
partition availablity priority, 7
certificate authority, 11
solid amber, 37
hdisk04 hdisk05, 8
ip address configuration, 2
reading syntax, 11
separate volume, 13
specified backing device, 1
duplex value, 3
might increase head wear, 3
state field, 9
benchmark method, 33
following connection, 3
integrated hmc modem, 3
unique address space, 1
type reboot, 8
iscsi option, 3
separate dedicated network, 7
reboot type, 7
mac prefix, 2
middle hole, 3
share few system, 1
single logical partition, 23
new return code, 1
dynamic memory movement, 2
lsvopt command, 7
full command form, 5
drc index, 77
primary objective, 6
syntax sysstat user description, 4
deallocate physical memory, 7
state change, 1
ip migivm2, 19
snmp agent, 39
first physical partition, 6
support disk, 24
ssh secure shell login, 7
protocol option, 3
outgoing packet, 3
fifth archive, 8
use advanced metal, 8
kdc server kerberos authentication, 9
hardware placement, 14
random vibration shock, 1
available dimm, 67
errlog command purpose, 5
backup set, 6
kb medium, 26
physical io, 8
big volume group, 3
version while, 9
binary format, 4
unknow attr, 1
use word, 6
websphere application server, 6
same rule, 4
concurrent server firmware maintenance, 5
aix host, 1
access permission, 11
available hmc machine code, 8
proxied authorization control, 1
vg02 fslv03, 3
safety information, 17
device configuration database, 31
space bar, 6
administrative user id, 4
load operation, 2
dedicated memory, 39
controlled partition, 1
segment level, 1
snmpdv1 agent, 7
kb block, 5
additional ethernet adapter, 9
individual lto tape, 4
inventory gathering version release, 1
access level, 8
vmstat command purpose, 2
sound while, 5
residential area, 3
running variety, 4
green ready status light, 1
cpu subsection, 3
shared storage pool mirroring, 8
summary ame longame, 3
new access permission, 1
internal asn, 1
system activity, 5
hdisk4 utmp0, 1
syntax rmsyscfg, 9
management console check, 7
notification trap, 14
turn amber, 1
later date, 1
power surge, 1
rmvt command, 9
system name, 1
wide mode, 1
terminal type tty, 5
information technology equipment, 98
partition state, 1
use third interface, 8
restricted korn shell environment, 1
indirect internet connection, 8
support fc eu23, 1
63a0 capacity, 4
name pvid vg status, 40
web browser, 113
consolidated system, 7
horizontal operation interface, 1
serious problem, 10
auto scope, 1
use maximum, 2
general business, 1
cable cutout size, 1
floor loading assessment, 5
heterogeneous physical storage, 6
logical partition while, 3
ibm operating system, 1
energy efficiency, 40
valid storage pool, 7
transmitted number, 12
laser radiation, 2
full duplex, 19
unique integer identifier, 23
img disk3, 1
paging device, 79
stringerless floor, 1
only file, 1
deutschen gesetz ber, 6
damaged cartridge, 2
first port, 3
timeout value, 2
network adapters, 44
specific uuid, 2
dat160 cleaning cartridge, 22
computer power panel, 10
present acoustical data, 1
default user, 7
failover failover, 22
system group, 1
virtual fibre channel redundancy, 10
copper fibre channel, 1
eu regulation, 6
